iter	Passed	Remaining
548	12329	10128
549	12343	10099
550	12356	10069
551	12368	10038
552	12381	10008
553	12394	9978
554	12407	9948
555	12421	9919
556	12434	9889
557	12446	9859
558	12460	9830
559	12475	9802
560	12489	9773
561	12504	9745
562	12517	9716
563	12531	9687
564	12546	9659
565	12560	9630
566	12573	9602
567	12587	9573
568	12600	9544
569	12613	9515
570	12626	9486
571	12642	9459
572	12655	9431
573	12667	9401
574	12681	9372
575	12695	9345
576	12707	9315
577	12727	9292
578	12754	9274
579	12787	9260
580	12827	9250
581	12869	9242
582	12896	9224
583	12924	9206
584	12948	9186
585	12978	9169
586	12989	9138
587	13002	9110
588	13013	9080
589	13026	9052
590	13039	9024
591	13052	8995
592	13064	8966
593	13085	8943
594	13098	8915
595	13112	8888
596	13125	8860
597	13136	8830
598	13149	8802
599	13161	8774
600	13175	8747
601	13187	8718
602	13200	8691
603	13214	8663
604	13240	8644
605	13254	8617
606	13268	8590
607	13281	8563
608	13295	8536
609	13306	8507
610	13322	8482
611	13334	8453
612	13348	8426
613	13359	8398
614	13372	8371
615	13384	8343
616	13397	8316
617	13409	8288
618	13422	8261
619	13435	8234
620	13449	8208
621	13463	8181
622	13476	8154
623	13489	8128
624	13502	8101
625	13516	8075
626	13529	8048
627	13545	8023
628	13559	7997
629	13571	7970
630	13584	7943
631	13597	7917
632	13611	7891
633	13623	7864
634	13638	7839
635	13652	7813
636	13664	7786
637	13678	7760
638	13692	7735
639	13704	7708
640	13716	7681
641	13729	7655
642	13742	7630
643	13755	7603
644	13767	7577
645	13780	7551
646	13792	7525
647	13806	7499
648	13818	7473
649	13831	7447
650	13847	7423
651	13860	7398
652	13873	7372
653	13885	7346
654	13897	7319
655	13910	7294
656	13923	7268
657	13937	7244
658	13950	7218
659	13966	7194
660	13981	7170
661	13994	7145
662	14006	7119
663	14021	7095
664	14038	7071
665	14050	7046
666	14064	7021
667	14077	6996
668	14096	6974
669	14111	6950
670	14125	6926
671	14139	6901
672	14150	6875
673	14162	6850
674	14172	6823
675	14186	6799
676	14198	6774
677	14211	6749
678	14225	6725
679	14239	6700
680	14262	6681
681	14278	6657
682	14292	6633
683	14305	6608
684	14318	6584
685	14331	6559
686	14344	6535
687	14356	6510
688	14366	6484
689	14378	6459
690	14390	6434
691	14402	6410
692	14416	6386
693	14429	6362
694	14443	6338
695	14454	6313
696	14468	6289
697	14482	6266
698	14495	6241
699	14508	6217
