iter	Passed	Remaining
642	3918	2175
643	3921	2167
644	3924	2159
645	3927	2152
646	3930	2144
647	3933	2136
648	3937	2129
649	3940	2121
650	3943	2114
651	3946	2106
652	3949	2098
653	3952	2091
654	3956	2083
655	3959	2076
656	3962	2068
657	3965	2061
658	3968	2053
659	3971	2046
660	3974	2038
661	3977	2030
662	3981	2023
663	3984	2016
664	3988	2009
665	3994	2003
666	3997	1995
667	4001	1988
668	4004	1981
669	4007	1973
670	4010	1966
671	4013	1958
672	4016	1951
673	4019	1944
674	4023	1937
675	4026	1929
676	4029	1922
677	4032	1915
678	4035	1907
679	4038	1900
680	4041	1893
681	4044	1886
682	4049	1879
683	4052	1872
684	4055	1865
685	4058	1857
686	4061	1850
687	4064	1843
688	4067	1835
689	4070	1828
690	4073	1821
691	4076	1814
692	4079	1807
693	4082	1800
694	4085	1792
695	4088	1785
696	4092	1778
697	4095	1771
698	4098	1764
699	4102	1758
700	4105	1751
701	4108	1743
702	4111	1736
703	4114	1729
704	4117	1722
705	4120	1715
706	4123	1708
707	4126	1701
708	4129	1695
709	4132	1688
710	4136	1681
711	4139	1674
712	4142	1667
713	4145	1660
714	4148	1653
715	4152	1646
716	4155	1640
717	4158	1633
718	4161	1626
719	4164	1619
720	4167	1612
721	4170	1605
722	4173	1598
723	4179	1593
724	4183	1586
725	4186	1579
726	4189	1573
727	4192	1566
728	4195	1559
729	4198	1552
730	4202	1546
731	4206	1539
732	4208	1533
733	4212	1526
734	4215	1519
735	4218	1513
736	4221	1506
737	4224	1499
738	4227	1493
739	4230	1486
740	4233	1479
741	4237	1473
742	4240	1466
743	4243	1460
744	4246	1453
745	4250	1447
746	4253	1440
747	4256	1433
748	4260	1427
749	4263	1421
750	4266	1414
751	4270	1408
752	4273	1401
753	4276	1395
754	4279	1388
755	4282	1382
756	4285	1375
757	4289	1369
758	4293	1363
759	4296	1356
760	4299	1350
761	4302	1343
762	4305	1337
763	4309	1331
764	4312	1324
765	4315	1318
766	4318	1311
767	4328	1307
768	4333	1301
769	4338	1295
770	4342	1289
771	4347	1284
772	4350	1277
773	4353	1271
774	4356	1264
775	4359	1258
776	4362	1252
777	4367	1246
778	4371	1240
779	4374	1233
780	4378	1227
781	4381	1221
782	4384	1215
783	4388	1209
784	4391	1202
785	4394	1196
786	4397	1190
787	4400	1183
788	4403	1177
789	4406	1171
790	4409	1164
791	4411	1158
792	4415	1152
793	4417	1146
794	4420	1139
795	4423	1133
796	4426	1127
797	4429	1121
798	4432	1115
799	4435	1108
800	4440	1103
801	4443	1096
802	4446	1090
803	4449	1084
804	4452	1078
805	4455	1072
806	4458	1066
807	4461	1060
808	4464	1054
809	4467	1048
810	4471	1041
811	4473	1035
812	4478	1030
813	4481	1024
814	4484	1017
815	4487	1011
816	4490	1005
817	4493	999
818	4496	993
819	4499	987
820	4502	981
821	4505	975
822	4508	969
823	4511	963
824	4514	957
825	4517	951
826	4520	945
827	4524	939
828	4527	933
829	4530	927
830	4533	922
831	4536	916
832	4540	910
833	4543	904
834	4546	898
835	4549	892
836	4553	886
837	4556	880
838	4559	874
839	4562	869
840	4565	863
841	4568	857
842	4571	851
843	4574	845
844	4577	839
845	4580	833
846	4583	827
847	4586	822
848	4589	816
849	4592	810
850	4595	804
851	4598	798
852	4603	793
853	4607	787
854	4611	781
855	4614	776
856	4618	770
857	4621	764
858	4624	759
859	4627	753
860	4631	747
861	4635	742
862	4638	736
863	4642	730
864	4645	725
865	4665	721
866	4677	717
867	4682	712
868	4693	707
869	4697	701
870	4708	697
871	4711	691
872	4716	686
873	4719	680
874	4734	676
875	4737	670
876	4747	665
877	4751	660
878	4755	654
879	4759	649
880	4770	644
881	4781	639
882	4791	634
883	4794	629
884	4806	624
885	4819	620
886	4823	614
887	4835	609
888	4838	604
889	4843	598
890	4846	592
891	4855	587
892	4858	582
893	4861	576
894	4865	570
895	4868	565
896	4872	559
897	4876	553
898	4879	548
899	4885	542
900	4893	537
901	4901	532
902	4908	527
903	4911	521
904	4914	515
905	4917	510
906	4920	504
907	4923	498
908	4927	493
909	4930	487
910	4933	481
911	4936	476
912	4942	470
913	4947	465
914	4958	460
915	4964	455
916	4969	449
917	4980	444
918	4990	439
919	5000	434
920	5008	429
921	5012	424
922	5019	418
923	5027	413
924	5032	408
925	5038	402
926	5043	397
927	5047	391
928	5052	386
929	5056	380
930	5061	375
931	5064	369
932	5069	364
933	5074	358
934	5080	353
935	5087	347
936	5096	342
937	5105	337
938	5114	332
939	5123	327
940	5132	321
941	5140	316
942	5149	311
943	5158	306
944	5170	300
945	5181	295
946	5190	290
947	5200	285
948	5207	279
949	5223	274
950	5237	269
951	5242	264
952	5259	259
953	5284	254
954	5292	249
955	5314	244
956	5325	239
957	5336	233
958	5352	228
959	5364	223
960	5376	218
961	5389	212
962	5397	207
963	5403	201
964	5416	196
965	5422	190
966	5432	185
967	5439	179
968	5450	174
969	5458	168
970	5465	163
971	5474	157
972	5486	152
973	5501	146
974	5507	141
975	5517	135
976	5527	130
977	5535	124
978	5542	118
979	5552	113
980	5564	107
981	5570	102
982	5584	96
983	5590	90
984	5601	85
985	5611	79
986	5624	74
987	5631	68
988	5645	62
989	5651	57
990	5663	51
991	5672	45
992	5682	40
993	5688	34
994	5702	28
995	5712	22
996	5721	17
997	5730	11
998	5739	5
999	5748	0
